Artist,Streams
Luis Fonsi       ,4069363
Ed Sheeran       ,2804976
J Balvin         ,2447723
CNCO             ,2426848
Nicky Jam        ,2181303
Danny Ocean      ,2035945
Wisin            ,1989108
Sebastian Yatra  ,1922896
Maluma           ,1894408
Shakira          ,1851078
Zion & Lennox    ,1653905
The Chainsmokers ,1639541
Piso 21          ,1510424
Daddy Yankee     ,1422622
Ozuna            ,1333108
The Weeknd       ,1298728
Enrique Iglesias ,1179531
Carlos Vives     ,1165103
IAmChino         ,1154038
Anuel Aa         ,1076580
Ricky Martin     ,1067306
Farruko          ,1040191
DJ Snake         ,902126
Clean Bandit     ,861824
Don Omar         ,836818
Chino & Nacho    ,833895
Nacho            ,823672
Bruno Mars       ,822667
Maroon 5         ,759602
Xantos           ,710790
Kygo             ,668399
Alejandro Fernand,647722
Pitbull          ,600525
Calvin Harris    ,569780
Martin Garrix    ,551472
Manuel Turizo    ,549036
ZAYN             ,547896
Chris Jeday      ,546414
Cali Y El Dandee ,540577
Charly Black     ,538683
Bad Bunny        ,510462
Drake            ,508706
Charlie Puth     ,393210
Carlos Baute     ,319905
Katy Perry       ,245120
Juanes           ,235482
Major Lazer      ,234371
Thalía          ,232045
Becky G          ,184396
Reik             ,181089
Mike Posner      ,170619
Natti Natasha    ,166194
Ariana Grande    ,164522
Cosculluela      ,161400
Steve Aoki       ,160858
Prince Royce     ,153622
DJ Khaled        ,148149
Alex Sensation   ,147346
Joey Montana     ,145052
Yandel           ,144908
Felipe Peláez   ,138234
Valentino        ,128600
Shawn Mendes     ,123423
Romeo Santos     ,117764
Zedd             ,114785
Jason Derulo     ,109442
Abraham Mateo    ,109399
Camila Cabello   ,95377
Silvestre Dangond,91994
MC Kevinho       ,87424
Anitta           ,85435
Jesse & Joy      ,85286
Juan Magán      ,76672
Dua Lipa         ,76177
Justin Timberlake,75682
Harry Styles     ,68181
Wolfine          ,64906
Sia              ,56717
Morat            ,55040
Maite Perroni    ,54197
David Guetta     ,51164
Mau y Ricky      ,49959
Twenty One Pilots,49688
El Nene La amenaz,44927
Karol G          ,43829
MC Fioti         ,39702
Dj Kass          ,31648
Gente De Zona    ,23741
Sam Smith        ,16402
Alok             ,13475
Taylor Swift     ,12968
Jennifer Lopez   ,10755
José Feliciano  ,8214
Mariah Carey     ,6673
Luis Miguel      ,6322
De La Ghetto     ,6108
Chyno Miranda    ,5331
Justin Bieber    ,4885
Miley Cyrus      ,4885
Cabas            ,3734
